index,q_1,a_1,q_2,a_2,q_3,a_3,q_4,a_4,q_5,a_5
1,What color are the flowers of the Cut Leaf Daisy?,"A) Yellow, B) Purple, C) Red",How tall does the Cut Leaf Daisy grow?,"A) 15 cm, B) 60 cm, C) 1 metre",Where is the best place to grow a Cut Leaf Daisy?,"A) Shady spots, B) Well-drained soil in full sun, C) Wet areas",Which animals are attracted to the Cut Leaf Daisy?,"A) Birds and frogs, B) Bees and lizards, C) Butterflies and insects",What type of soil does the Cut Leaf Daisy prefer?,"A) Well-drained soil, B) Wet soil, C) Sandy soil"
2,What color flowers does the Creeping Boobialla have?,"A) Purple or white, B) Blue, C) Pink",How tall can the Creeping Boobialla grow?,"A) 15 cm, B) 1 metre, C) 2 metres",Where is the best place to plant Creeping Boobialla?,"A) Shady areas, B) Sunny, well-drained spots, C) In a water feature",Which animals are attracted to the Creeping Boobialla?,"A) Bees and butterflies, B) Birds and lizards, C) Frogs and insects",What kind of soil does the Creeping Boobialla like?,"A) Wet soil, B) Well-drained soil, C) Sandy soil"
3,What color are the flowers of the Fan Flower?,"A) White, B) Mauve-pink, C) Yellow",How tall does the Fan Flower grow?,"A) 15 cm, B) 60 cm, C) 1 metre",Where does the Fan Flower grow best?,"A) In the shade, B) In full sun, C) In wet soil",Which animals are attracted to the Fan Flower?,"A) Bees and butterflies, B) Lizards and bees, C) Frogs and butterflies",What type of soil is best for the Fan Flower?,"A) Wet soil, B) Sandy soil, C) Well-drained soil"
5,What color are the flowers of the Blue Flax?,"A) Blue, B) Pink, C) Yellow",How tall does the Blue Flax grow?,"A) 15 cm, B) 45 cm, C) 1 metre",Where does the Blue Flax grow best?,"A) In the shade, B) In a sunny position, C) In wet soil",Which animals are attracted to the Blue Flax?,"A) Frogs and insects, B) Birds and butterflies, C) Lizards and bees",What type of soil is best for the Blue Flax?,"A) Wet soil, B) Sandy soil, C) Well-drained soil"
6,What color are the flower heads of the Knobby Club Rush?,"A) Blue, B) Brownish, C) Pink",How tall can the Knobby Club Rush grow?,"A) 15 cm, B) 45 cm, C) 1 metre",Where does the Knobby Club Rush grow best?,"A) In the shade, B) In a water feature, C) In full sun",Which animals are attracted to the Knobby Club Rush?,"A) Birds and frogs, B) Bees and lizards, C) Butterflies and insects",What type of soil does the Knobby Club Rush prefer?,"A) Wet soil, B) Sandy soil, C) Dry soil"
10,What color are the flowers of the Sarsaparilla Vine?,"A) White and pink, B) Dark purple, C) Yellow",How tall does the Sarsaparilla Vine grow?,"A) 1 metre, B) 3 metres, C) 5 metres",Where is the best place to plant Sarsaparilla Vine?,"A) In full sun to semi-shade, B) In wet soil, C) In shady areas",Which animals are attracted to the Sarsaparilla Vine?,"A) Bees, birds, butterflies, and insects, B) Lizards and frogs, C) Butterflies and bees",What type of soil is best for the Sarsaparilla Vine?,"A) Wet soil, B) Sandy soil, C) Well-drained soil"
17,What color are the flowers of the Thyme Honey Myrtle?,"A) Pink, B) Red, C) Mauve",How tall can the Thyme Honey Myrtle grow?,"A) 30 centimetres, B) 60 centimetres, C) 1 metre",What is the ideal sunlight condition for the Thyme Honey Myrtle?,"A) Shade, B) Partial shade, C) Full sun",Which animals are attracted to the Thyme Honey Myrtle?,"A) Birds and bees, B) Butterflies and lizards, C) Insects",What type of soil is best for the Thyme Honey Myrtle?,"A) Wet soil, B) Sandy soil, C) Well-drained soil"
18,What color are the flowers of Banksia?,"A) Red, orange, or yellow, B) Blue, C) Pink",How tall can Banksia grow?,"A) Up to 3 metres, B) Up to 5 metres, C) Up to 10 metres",What is the ideal sunlight condition for Banksia?,"A) Shade, B) Partial shade, C) Full sun",Which animals are attracted to Banksia?,"A) Birds, B) Lizards, C) Frogs",What type of soil does Banksia prefer?,"A) Wet soil, B) Sandy soil, C) Well-drained soil"
19,What color are the flowers of the Bottlebrush?,"A) Red, B) Blue, C) Yellow",How tall can the Bottlebrush grow?,"A) Up to 2 metres, B) Up to 5 metres, C) Up to 10 metres",What is the ideal sunlight condition for the Bottlebrush?,"A) Shade, B) Full sun, C) Partial shade",Which animals are attracted to the Bottlebrush?,"A) Birds and insects, B) Frogs and lizards, C) Bees and butterflies",What type of soil does the Bottlebrush prefer?,"A) Wet soil, B) Sandy soil, C) Well-drained soil"
20,What color are the flowers of the Grevillea?,"A) Red, pink, orange, or yellow, B) Blue, C) White",How tall can the Grevillea grow?,"A) Up to 2 metres, B) Up to 5 metres, C) Up to 10 metres",What is the ideal sunlight condition for the Grevillea?,"A) Shade, B) Partial shade, C) Full sun",Which animals are attracted to the Grevillea?,"A) Birds, bees, and butterflies, B) Frogs and lizards, C) Insects and lizards",What type of soil does the Grevillea prefer?,"A) Wet soil, B) Sandy soil, C) Light, gritty, free-draining soil"
21,What color are the flowers of the Lilly Pilly?,"A) White or pink, B) Red, C) Yellow",How tall can the Lilly Pilly grow?,"A) Up to 2 metres, B) Up to 5 metres, C) Up to 10 metres",What is the ideal sunlight condition for the Lilly Pilly?,"A) Shade, B) Full sun, C) Partial shade",Which animals are attracted to the Lilly Pilly?,"A) Birds and bees, B) Frogs and lizards, C) Butterflies and insects",What type of soil does the Lilly Pilly prefer?,"A) Wet soil, B) Sandy soil, C) Well-drained soil"
